,Unnamed: 0,Winner,Reach (inches) Differential,Height (inches) Differential,Significant Strikes Landed per Minute Differential,Significant Striking Accuracy Differential,Significant Strikes Absorbed per Minute Differential,Significant Strike Defence (the percentage of opponents strikes that did not land) Differential,Average Takedowns Landed per 15 minutes Differential,Takedown Accuracy Differential,Takedown Defense (the percentage of opponents TD attempts that did not land) Differential,Average Submissions Attempted per 15 minutes
15,15,1,2.0,4.0,0.8100000000000005,0.09000000000000002,-1.85,0.030000000000000027,-1.8200000000000003,0.36,-0.18000000000000005,-0.1
16,16,0,1.0,1.0,1.1100000000000003,-0.02999999999999997,2.9200000000000004,-0.10999999999999999,-0.6600000000000001,-0.020000000000000018,0.010000000000000009,0.0
17,17,0,0.0,0.0,2.3499999999999996,0.0,-3.87,0.20999999999999996,0.5999999999999999,0.32,0.4,1.9999999999999998
18,18,0,-2.0,-2.0,-2.25,-0.08000000000000007,-0.04999999999999982,0.050000000000000044,-0.21999999999999997,-0.46,-0.029999999999999916,-0.1
19,19,1,-4.0,-2.0,6.36,0.12000000000000005,0.8499999999999996,0.07,0.0,0.0,0.0,0.0
20,20,0,5.0,3.0,-0.3599999999999999,-0.03999999999999998,0.8999999999999999,-0.24,-3.02,0.17000000000000004,0.06999999999999995,0.0
21,21,0,7.0,5.0,-0.4900000000000002,-0.14,-0.48999999999999977,-0.16999999999999998,0.46,0.19,-0.31000000000000005,0.5
22,22,1,-6.0,-5.0,-1.9499999999999997,-0.10999999999999999,1.4800000000000002,-0.19999999999999996,-0.7100000000000001,-0.84,-0.08000000000000007,0.0
23,23,0,4.0,-1.0,-0.77,-0.07,-0.14000000000000012,0.010000000000000009,0.8199999999999998,0.1,-0.15000000000000002,2.1999999999999997
24,24,1,0.0,-3.0,0.29000000000000004,0.12,0.050000000000000266,0.08000000000000007,0.0,0.0,0.0,-1.0
25,25,1,0.0,2.0,2.3800000000000003,0.15000000000000002,-1.25,0.04999999999999999,-0.86,0.01999999999999999,-0.22999999999999998,0.0
26,26,0,1.0,3.0,0.21999999999999975,-0.08000000000000002,1.1399999999999997,-0.030000000000000027,0.0,0.0,-0.36999999999999994,0.0
27,27,1,4.0,0.0,-0.29000000000000004,0.05999999999999994,-1.7699999999999996,0.12,0.1499999999999999,0.10999999999999999,0.29999999999999993,0.5
28,28,1,3.0,2.0,-1.0900000000000003,0.050000000000000044,-1.0899999999999999,0.06,0.6599999999999999,0.030000000000000027,-0.06999999999999995,2.1
29,29,1,0.0,-2.0,0.1299999999999999,0.19,-1.1699999999999997,0.21000000000000002,2.09,0.3,-0.37,2.2
30,30,1,1.0,-1.0,1.0,0.08999999999999997,1.73,0.09000000000000008,-0.9299999999999999,-0.07,0.8,-1.2
31,31,1,2.0,-1.0,-0.8700000000000001,0.18,0.6399999999999997,0.030000000000000027,0.0,0.0,0.45999999999999996,0.0
32,32,0,1.0,0.0,-1.6199999999999992,0.010000000000000009,1.2599999999999998,-0.07999999999999996,-0.08000000000000002,0.019999999999999962,-0.31999999999999995,-0.4
33,33,1,0.0,-3.0,0.03000000000000025,0.0,0.03999999999999959,0.07000000000000006,-0.7799999999999998,0.12,0.12,0.5
34,34,1,4.0,3.0,0.6699999999999999,0.030000000000000027,-3.0,0.09000000000000002,0.73,0.2,-0.14,0.6
35,35,1,-1.0,-1.0,0.20999999999999996,-0.040000000000000036,0.2999999999999998,0.06000000000000005,1.42,0.33,0.08000000000000007,0.1
36,36,0,2.0,4.0,1.2400000000000002,0.04999999999999999,0.6799999999999997,0.06,-0.3600000000000001,-0.02999999999999997,-0.07,0.10000000000000009
37,37,0,0.0,-1.0,-0.5499999999999998,-0.10999999999999999,3.4299999999999997,-0.21000000000000002,0.04999999999999982,-0.26,-0.21999999999999997,0.0
38,38,0,-2.0,-2.0,0.52,-0.03999999999999998,1.0299999999999998,-0.040000000000000036,-3.44,0.06,-0.44999999999999996,-0.10000000000000003
39,39,0,2.0,2.0,-0.9599999999999995,-0.10999999999999993,-2.1199999999999997,0.030000000000000027,1.6800000000000002,-0.62,-0.38,0.2
40,40,0,-1.0,-3.0,-0.14000000000000012,-0.11999999999999994,0.8900000000000001,0.09000000000000002,-4.38,-0.030000000000000027,-0.5800000000000001,0.19999999999999996
41,41,1,1.0,3.0,1.6400000000000001,0.13,-0.4500000000000002,0.13,-1.19,0.33999999999999997,-0.27999999999999997,-1.0
42,42,0,-1.0,-3.0,0.5299999999999998,-0.07999999999999996,1.08,0.04999999999999993,-0.8800000000000001,-0.06,0.27999999999999997,-0.8
43,43,1,5.0,1.0,1.2600000000000007,-0.029999999999999916,-0.5899999999999999,0.07,-0.92,-0.12,0.3,0.0
44,44,0,1.0,1.0,0.9900000000000002,-0.07,2.4,0.05999999999999994,-0.41,-0.03,0.06999999999999995,-0.7
45,45,1,-1.0,-4.0,1.9300000000000002,0.03999999999999998,-5.390000000000001,-0.12,0.7,0.2,0.68,0.5
46,46,0,3.0,4.0,0.3900000000000001,-0.11000000000000004,1.2100000000000004,-0.020000000000000018,0.42000000000000004,0.44999999999999996,-0.55,0.4
47,47,0,-8.0,-4.0,0.020000000000000462,-0.009999999999999953,-0.14999999999999947,0.10999999999999999,0.0,0.0,0.07999999999999996,-1.4
48,48,1,-4.0,-6.0,1.71,0.040000000000000036,0.08999999999999986,0.23999999999999996,2.62,0.64,0.32999999999999996,0.8999999999999999
49,49,1,-1.0,-1.0,1.5400000000000003,0.19000000000000006,-2.74,0.13,1.53,0.37,0.52,0.0
50,50,1,2.0,2.0,1.27,0.08999999999999997,-0.18000000000000016,-0.010000000000000009,0.20000000000000018,0.14,0.14,-0.09999999999999998
51,51,1,1.0,-1.0,1.5300000000000002,0.020000000000000018,0.73,-0.040000000000000036,0.40000000000000013,-0.19,0.19000000000000006,0.4
52,52,0,-3.0,1.0,2.66,0.11000000000000004,-1.0499999999999998,0.08999999999999997,-1.27,-0.5,0.82,-0.4
53,53,0,-1.0,-1.0,0.33999999999999986,-0.030000000000000027,0.06000000000000005,0.020000000000000018,-1.98,0.12000000000000005,-0.06999999999999995,-0.3
54,54,0,-1.0,1.0,2.5100000000000002,0.02999999999999997,2.29,0.06,-2.1,-0.15999999999999998,0.21000000000000002,-1.0
55,55,1,-1.0,1.0,0.6800000000000002,-0.08000000000000002,0.6699999999999999,-0.04999999999999993,1.2,0.06000000000000005,-0.5599999999999999,0.5
56,56,1,3.0,2.0,-1.3200000000000003,0.050000000000000044,-2.2300000000000004,0.15999999999999992,-0.31999999999999995,-0.01999999999999999,0.010000000000000009,-0.5
57,57,1,1.0,2.0,-2.2300000000000004,-0.050000000000000044,-1.2100000000000009,0.09000000000000008,-0.49999999999999994,-0.15,-0.37,0.19999999999999996
58,58,0,-1.0,-2.0,0.7600000000000002,0.08999999999999997,0.6000000000000001,-0.08999999999999997,0.8800000000000003,0.040000000000000036,0.15000000000000002,-0.9
59,59,1,-5.0,0.0,0.06999999999999984,0.040000000000000036,-2.21,0.10000000000000003,3.47,0.18000000000000005,-0.31999999999999995,0.4
60,60,1,2.0,5.0,-0.47999999999999954,-0.14,0.8000000000000003,-0.030000000000000027,-1.1,-0.5,-0.44,0.7999999999999999
61,61,0,-7.0,-4.0,-0.3600000000000003,0.020000000000000018,-0.6000000000000001,-0.039999999999999925,-1.5,-0.10000000000000003,-0.30000000000000004,-0.19999999999999996
62,62,1,-4.0,-1.0,1.29,0.17000000000000004,0.6400000000000001,0.039999999999999925,-1.5299999999999998,-0.06,0.13,-1.1
63,63,1,0.0,-4.0,-2.4699999999999998,0.0,-0.9199999999999999,0.050000000000000044,1.77,0.07999999999999996,0.09000000000000008,0.8
64,64,0,-2.0,-2.0,-0.8200000000000003,-0.14999999999999997,0.16000000000000014,0.18,-3.51,-0.08000000000000002,-0.18999999999999995,-2.8
65,65,1,-3.0,-1.0,-0.52,0.020000000000000018,-0.54,0.06999999999999995,0.26,0.07999999999999999,0.010000000000000009,-0.1
66,66,1,2.0,2.0,1.1399999999999997,0.09000000000000002,-0.8300000000000001,0.039999999999999925,0.79,0.28,-0.08999999999999997,0.39999999999999997
67,67,1,2.0,-1.0,0.8700000000000001,0.13,1.1300000000000003,-0.11000000000000004,-0.19,-0.33,0.39999999999999997,0.0
68,68,1,1.0,0.0,7.16,-0.5,-28.599999999999998,0.42000000000000004,0.0,0.0,1.0,0.0
69,69,1,5.0,3.0,1.5699999999999998,0.040000000000000036,2.2100000000000004,-0.030000000000000027,-1.39,0.15000000000000002,0.32999999999999996,-0.5
70,70,1,-8.0,-3.0,1.2800000000000002,0.0,0.7399999999999998,0.050000000000000044,-1.5200000000000005,0.32,0.04999999999999999,0.4
71,71,1,6.0,4.0,-1.1099999999999999,-0.06,0.22999999999999998,0.030000000000000027,2.62,0.48,0.47,-0.2
72,72,1,8.0,8.0,1.1600000000000001,-0.009999999999999953,-1.6400000000000006,0.12,0.56,0.45,0.48000000000000004,0.2
73,73,1,0.0,1.0,1.0900000000000003,0.11000000000000004,-0.38000000000000034,0.029999999999999916,3.16,0.10999999999999999,0.07000000000000006,-0.7
74,74,1,9.0,6.0,0.0900000000000003,0.050000000000000044,-1.62,0.08000000000000007,-0.6599999999999997,0.12,0.12,0.0
75,75,1,0.0,1.0,-2.3499999999999996,0.09000000000000002,-3.6899999999999995,0.030000000000000027,2.95,0.09000000000000002,0.020000000000000018,0.2
76,76,1,2.0,-1.0,0.4400000000000004,0.09999999999999998,-1.3500000000000005,-0.06,5.369999999999999,-0.08000000000000002,-0.10999999999999999,1.4999999999999998
77,77,1,-1.0,0.0,0.16000000000000014,0.010000000000000009,0.10999999999999988,-0.030000000000000027,-1.79,-0.16999999999999998,-0.31,-0.10000000000000003
78,78,1,-2.0,1.0,0.04999999999999982,-0.030000000000000027,0.5300000000000002,-0.030000000000000027,0.33000000000000007,-0.01999999999999999,0.010000000000000009,-0.5
79,79,0,1.0,-2.0,-2.45,0.06,-0.39999999999999947,0.010000000000000009,0.33,0.11,0.040000000000000036,1.1
80,80,1,2.0,3.0,0.5499999999999998,-0.10999999999999999,-0.03999999999999959,0.06,1.44,0.10000000000000003,0.020000000000000018,-0.3999999999999999
81,81,0,1.0,2.0,1.2000000000000002,-0.050000000000000044,1.96,0.06000000000000005,-3.8600000000000003,-0.07,0.4,-0.8999999999999999
82,82,0,-4.0,0.0,-0.3600000000000003,0.12,-0.3199999999999994,0.03999999999999998,0.75,0.07,0.040000000000000036,-0.4
83,83,1,2.0,2.0,1.5700000000000003,-0.010000000000000009,-1.27,0.0,1.23,0.39,0.26,-0.09999999999999998
84,84,0,4.0,2.0,-0.8700000000000001,-0.2,1.9,-0.08000000000000002,0.8,-0.42,-0.20000000000000007,0.5
85,85,1,4.0,-1.0,-1.0699999999999998,0.07,-0.6399999999999997,0.030000000000000027,-0.5,0.09999999999999998,-0.75,0.0
86,86,1,-4.0,-1.0,0.3600000000000003,-0.08999999999999997,-0.10000000000000009,-0.06,2.03,0.3,-0.5,0.0
87,87,1,-2.0,2.0,1.4699999999999998,-0.20999999999999996,0.3700000000000001,0.009999999999999953,-1.98,0.31,0.0,-0.40000000000000013
