,Winner,Loser,Red,Blue,Knockdowns (R),Knockdowns (B),Significant Strikes (R),Significant Strikes (B),Significant Strikes Percentage (R),Significant Strikes Percentage (B),Total Strikes (R),Total Strikes (B),Takedowns (R),Takedowns (B),Takedowns Percentage (R),Takedowns Percentage (B),Submission Attempts (R),Submission Attempts (B),Reversals (R),Reversals (B),Control Time (seconds) (R),Control Time (seconds) (B)
4330,1,0,Derrick Lewis,Damian Grabowski,0.0,0.0,14.0,1.0,0.46,0.33,15.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0
4331,0,1,Ray Borg,Justin Scoggins,0.0,0.0,20.0,57.0,0.45,0.47,45.0,81.0,1.0,4.0,0.12,0.66,0.0,0.0,0.0,0.0,63.0,434.0
4332,0,1,Noad Lahat,Diego Rivas,0.0,1.0,7.0,5.0,0.53,0.55,22.0,7.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,240.0,17.0
4333,1,0,Mickey Gall,Mike Jackson,1.0,0.0,2.0,3.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0
4334,0,1,Artem Lobov,Alex White,0.0,0.0,23.0,78.0,0.21,0.45,32.0,102.0,0.0,3.0,0.0,0.42,0.0,0.0,0.0,0.0,201.0,68.0
4335,1,0,Anthony Johnson,Ryan Bader,0.0,0.0,11.0,0.0,0.84,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0
4336,0,1,Josh Barnett,Ben Rothwell,0.0,0.0,35.0,35.0,0.51,0.38,35.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,7.0
4337,0,1,Iuri Alcantara,Jimmie Rivera,0.0,0.0,41.0,45.0,0.38,0.44,43.0,64.0,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,132.0
4338,0,1,Sage Northcutt,Bryan Barberena,0.0,0.0,18.0,26.0,0.4,0.54,27.0,67.0,1.0,1.0,0.2,1.0,0.0,1.0,0.0,0.0,84.0,195.0
4339,1,0,Tarec Saffiedine,Jake Ellenberger,0.0,0.0,54.0,30.0,0.41,0.3,58.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,54.0
